"Order canceled by user","Orderen ble avbrutt av brukeren"
"No order for processing found","Ingen ordre funnet for prosessering"
"The customer was redirected to PayEx.","Kunden ble videresendt til PayEx."
"Order reference is empty","Ordrereferansen er tom"
"Order automatically canceled. Failed to complete payment.","Ordren ble automatisk kansellert. Betalingen ble ikke fullført."
"Payment has been authorized","Betalingen ble godkjent"
"Payment has been captured","Betalingen ble fanget opp"
"Detected an abnormal payment process (Transaction Status: %1).","Oppdaget en unormal betaling (Transaksjonsstatus: %1)."
"Order automatically canceled.","Ordren ble automatisk avbrutt."
"Invalid transaction status.","Ugyldig transaksjonsstatus."
"Credit Memo created using Transaction Callback","Kreditnota ble laget ved hjelp av transkasjonscallback"
"Order canceled by Transaction Callback","Ordren ble kansellert ved etter callback"
"Your customers bank declined the transaction, your customer can contact their bank for more information","Kundens bank avslo betalingen. Kunden kan ta med banken sin for mer informasjon"
"An unhandled exception occurred","En ukjent exception oppstod. "
"A problem with Visa or MasterCards directory server, that communicates transactions for 3D-Secure verification","Et problem med Visa eller MasterCard sin directory server. Denne blir brukt mot 3D-Secure verifiseringen."
"Communication error with the acquiring bank","Kommunikasjonsproblemer med banken"
"The sum of your order lines is not equal to the price set in initialize","Summen på orderen er ikke lik summen som ble satt i starten av prosessen"
"Your customers card is not eligible for this kind of purchase, your customer can contact their bank for more information","Kundens kort kan ikke brukes til denne typen handel. Kunden kan ta kontakt med banken sin for mer informasjon"
"Some problem occurred with the credit card, your customer can contact their bank for more information","Et problem oppstod med kredittkortet. Kunden kan ta kontakt med banken sin for mer informasjon"
"Your customers bank declined the transaction, your customer can contact their bank for more information","Kundens bank avslo handelen. Kunden kan ta kontakt med banken sin for mer informasjon"
"The merchant account number sent in on request is invalid","Selgeren sitt kontonummer er ugyldig"
"The IP address the request comes from is not registered in PayEx, you can set it up in PayEx Admin under Merchant profile","IP adressen som betalingen kommer fra er ikke konfigurert i PayEx. Butikkeieren kan sette dette opp i PayEx Admin under Merchant profile"
"The merchant does not have access to requested functionality","Selgeren har ikke tilgang den forespurte funksjonaliteten"
"Your customers bank declined the transaction, your customer can contact their bank for more information","Kundens bank avslo betalingen. Kunden kan kontakte banken sin for mer informasjon"
"The merchant account is not active","Selgerkontoen er ikke aktiv"
"The merchant account is locked out","Selgerkontoen er blokkert"
"Generic validation error","Generisk valideringsfeil, vennligst sjekk at alle felter som er påkrevd er fyllt ut"
"The hash on request is not valid, this might be due to the encryption key being incorrect","Hashen på forespørselen er ugyldig, dette kan skje dersom krypteringsnøkkelen er feil satt opp"
"One of the input parameters has invalid data. See paramName and description for more information","En av input parameterne er ugyldige. Sjekk paramName og beskrivelsen for mer informasjon"
"The operation was cancelled by the client","Operasjonen ble avbrutt av kunden"
"Unexpecter error at 3rd party","Ukjent feil hos 3. part"
"The amount is not valid for this operation","Ugyldig beløp for denne typen operasjon"
"No data found","Ingen data ble funnet"
"The operation is not allowed, transaction is in invalid state","Operasjonen er ikke tillatt, transaksjonen er nå i en ugyldig tilstand"
"Could not get in touch with the card issuer","Kunne ikke få kontakt med kortutsteder"
"The card could not be verified","Kunne ikke bekrefte kortet"
"There is a problem with this card","Det har oppstått et problem med dette kortet"
"The card expired","Kortet har utgått"
"Insufficient funds","Ikke dekning"
"Incorrect amount","Ugyldig beløp"
"Payment cancelled","Betaling kansellert"
"Your Credit Card not accepted for this purchase","Kortet ble ikke akseptert for denne orderen"
