"Order canceled by user","Order canceled by user"
"No order for processing found","No order for processing found"
"The customer was redirected to PayEx.","The customer was redirected to PayEx."
"Order reference is empty","Order reference is empty"
"Order automatically canceled. Failed to complete payment.","Order automatically canceled. Failed to complete payment."
"Payment has been authorized","Payment has been authorized"
"Payment has been captured","Payment has been captured"
"Detected an abnormal payment process (Transaction Status: %1).","Detected an abnormal payment process (Transaction Status: %1)."
"Order automatically canceled.","Order automatically canceled."
"Invalid transaction status.","Invalid transaction status."
"Credit Memo created using Transaction Callback","Credit Memo created using Transaction Callback"
"Order canceled by Transaction Callback","Order canceled by Transaction Callback"
"Your customers bank declined the transaction, your customer can contact their bank for more information","Your customers bank declined the transaction, your customer can contact their bank for more information"
"An unhandled exception occurred","An unhandled exception occurred"
"A problem with Visa or MasterCards directory server, that communicates transactions for 3D-Secure verification","A problem with Visa or MasterCards directory server, that communicates transactions for 3D-Secure verification"
"Communication error with the acquiring bank","Communication error with the acquiring bank"
"The sum of your order lines is not equal to the price set in initialize","The sum of your order lines is not equal to the price set in initialize"
"Your customers card is not eligible for this kind of purchase, your customer can contact their bank for more information","Your customers card is not eligible for this kind of purchase, your customer can contact their bank for more information"
"Some problem occurred with the credit card, your customer can contact their bank for more information","Some problem occurred with the credit card, your customer can contact their bank for more information"
"Your customers bank declined the transaction, your customer can contact their bank for more information","Your customers bank declined the transaction, your customer can contact their bank for more information"
"The merchant account number sent in on request is invalid","The merchant account number sent in on request is invalid"
"The IP address the request comes from is not registered in PayEx, you can set it up in PayEx Admin under Merchant profile","The IP address the request comes from is not registered in PayEx, you can set it up in PayEx Admin under Merchant profile"
"The merchant does not have access to requested functionality","The merchant does not have access to requested functionality"
"Your customers bank declined the transaction, your customer can contact their bank for more information","Your customers bank declined the transaction, your customer can contact their bank for more information"
"The merchant account is not active","The merchant account is not active"
"The merchant account is not active","The merchant account is not active"
"The merchant account is locked out","The merchant account is locked out"
"Generic validation error","Generic validation error"
"The hash on request is not valid, this might be due to the encryption key being incorrect","The hash on request is not valid, this might be due to the encryption key being incorrect"
"One of the input parameters has invalid data. See paramName and description for more information","One of the input parameters has invalid data. See paramName and description for more information"
"The operation was cancelled by the client","The operation was cancelled by the client"
"Unexpecter error at 3rd party","Unexpecter error at 3rd party"
"The amount is not valid for this operation","The amount is not valid for this operation"
"No data found","No data found"
"The operation is not allowed, transaction is in invalid state","The operation is not allowed, transaction is in invalid state"
"Could not get in touch with the card issuer","Could not get in touch with the card issuer"
"The card could not be verified","The card could not be verified"
"There is a problem with this card","There is a problem with this card"
"The card expired","The card expired"
"Insufficient funds","Insufficient funds"
"Incorrect amount","Incorrect amount"
"Payment cancelled","Payment cancelled"
"Your Credit Card not accepted for this purchase","Your Credit Card not accepted for this purchase"
"Credit check was declined, please try another payment option","Credit check was declined, please try another payment option"
"PayEx error: %1 (%2)","PayEx error: %1 (%2)"
"Discount (%1)","Discount (%1)"
"Detect automatically","Detect automatically"
"English","English"
"Swedish","Swedish"
"Norway","Norway"
"Danish","Danish"
"Spanish","Spanish"
"German","German"
"Finnish","Finnish"
"French","French"
"Polish","Polish"
"Czech","Czech"
"Hungarian","Hungarian"
"Authorize","Authorize"
"Sale","Sale"
"Payment Menu","Payment Menu"
"Credit Card","Credit Card"
"Invoice (Ledger Service)","Invoice (Ledger Service)"
"Direct Debit","Direct Debit"
"PayPal","PayPal"
"Invalid amount for capture.","Invalid amount for capture."
"Can't load last transaction.","Can't load last transaction."
"Can't capture captured order.","Can't capture captured order."
"Can't load last transaction.","Can't load last transaction."
"Unable to execute cancel.","Unable to execute cancel."
"Invalid amount for refund.","Invalid amount for refund."
"Invalid transaction ID.","Invalid transaction ID."
"Can't load last transaction.","Can't load last transaction."
"This payment has not yet captured.","This payment has not yet captured."
"Select your bank:","Välj din bank:"
"Nordea Bank","Nordea Bank"
"Swedbank","Swedbank"
"Svenska Enskilda Bank","Svenska Enskilda Bank"
"Handelsbanken","Handelsbanken"
"Nordea Bank DK","Nordea Bank DK"
"Den Danske Bank","Den Danske Bank"
"BankAxess","BankAxess"
"Sampo","Sampo"
"Aktia, Säästöpankki","Aktia, Säästöpankki"
"Osuuspanki, Pohjola, Oko","Osuuspanki, Pohjola, Oko"
"Nordea Bank Finland","Nordea Bank Finland"
"SHB:FI","SHB:FI"
"SPANKKI","SPANKKI"
"TAPIOLA","TAPIOLA"
"Ålandsbanken","Ålandsbanken"
"Social Security Number","Personnummer"
"Please enter Social Security Number.","Please enter Social Security Number."
"Social Security number have wrong format.","Social Security number have wrong format."
"Please select country.","Välj land."
"Please enter postcode.","Fyll i postnummer."
"Product name ""%1"" contains invalid characters.","Product name ""%1"" contains invalid characters."
